trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.5, 'e': 0.5907768628656764}",20,0,5.641276599944952,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.587822978551348}",25,0,-77.76530759789132,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.5848838636585912}",25,0,-18.731264846551557,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.5819594443402983}",20,0,-12.194465637516116,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.5790496471185967}",25,0,-67.94444153296433,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.5761543988830038}",20,0,-42.10567944930138,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.5732736268885887}",20,6,-42.45370987441351,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.5704072587541459}",20,0,-56.0890619880898,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.5675552224603752}",30,6,-120.08608153680821,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.5647174463480732}",35,14,-50.849603403558845,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.5618938591163328}",20,0,-22.163032178814547,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.5590843898207511}",30,0,-61.9414505423236,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.5562889678716474}",20,0,-58.033214956652905,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.5535075230322892}",30,22,16.461695777795796,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.5507399854171278}",25,0,-157.6727629696912,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.5479862854900421}",25,0,-89.17690567919138,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.5452463540625919}",25,4,-83.64748933069319,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.542520122292279}",30,12,-5.48486090513337,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.5398075216808176}",25,14,-13.62698860742267,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.5371084840724134}",30,16,-16.892382117976766,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.5344229416520514}",25,0,1.8533302125819975,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.5317508269437912}",35,18,-33.17970316545146,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.5290920728090721}",30,0,-54.04687516992548,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.5264466124450268}",25,0,-0.787978708601152,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.5238143793828016}",25,17,3.969603116141193,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.5211953074858876}",25,0,-38.64353351178263,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.5185893309484582}",20,15,10.401312456794205,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.515996384293716}",20,0,-61.811060697639796,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.5134164023722474}",25,0,9.19533089844149,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.5108493203603861}",30,10,-45.58286489648262,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.5082950737585842}",30,22,17.526840737747044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.5057535983897913}",20,12,-28.707551393096004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.5032248303978423}",20,0,-60.13248204348819,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.5007087062458531}",20,11,-23.430125064259716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.4982051627146238}",20,0,-120.19822958127251,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.4957141369010507}",20,0,-90.33857432600708,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.4932355662165454}",30,15,-33.89847703871173,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.4907693883854627}",20,0,-37.79761104430406,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.4883155414435354}",30,0,4.7399529553717805,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.4858739637363177}",25,0,-48.81530499721987,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.4834445939176361}",25,9,-17.715489237375206,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.4810273709480479}",20,0,-20.07985669388922,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.4786222340933077}",20,0,-7.55517937781639,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.47622912292284114}",20,0,-31.207178770628563,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.4738479773082269}",25,0,-133.28449971159304,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.4714787374216858}",20,10,-23.63131546524275,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46912134373457737}",20,6,-24.433960002530323,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.46677573701590447}",20,3,17.379883364548753,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.46444185833082496}",20,16,7.35895901544612,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.46211964903917085}",20,13,1.2921536728833438,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.459809050793975}",25,1,-21.529816779285117,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.4575100055400051}",20,0,-99.03930901343345,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.45522245551230506}",25,0,33.057746971842434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.45294634323474353}",25,0,-40.1648511833531,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
